"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"Which of these flowers is closely associated with Remembrance Day?<br><br>Daffodil<br>Lily<br>Poppy<br>Rose"	"Poppy"	"The poppy has become the symbol of Remembrance worn during the weeks leading to Remembrance Sunday and Armistice Day."	"Life in the UK"	
"Which of these international events was held in London in 2012?<br><br>EURO 2012<br>The Paralympic Games<br>The World Cup<br>The Commonwealth Games"	"The Paralympic Games"	"The UK has hosted the Olympic Games on three occasions: 1908, 1948 and 2012.The Paralympic Games for 2012 were also hosted in London."	"Life in the UK"	
"What is a traditional pub game?<br><br>Pool<br>Poker<br>Chess<br>Roulette"	"Pool"	"Pub quizzes are popular. Pool and darts are traditional pub games."	"Life in the UK"	
"What does the abbreviation PTA stand for?<br><br>Parent Teacher Association<br>Primary Teaching Agency<br>Personal Trainer Awards<br>Premier Tennis Association"	"Parent Teacher Association"	"Sometimes school events are organised by parent-teacher associations (PTAs)"	"Life in the UK"	
"Which of these drugs can you buy or sell legally in UK?<br><br>Cannabis<br>Heroin<br>Paracetamol<br>Ecstasy"	"Paracetamol"	"Selling or buying drugs such as heroin, cocaine, ecstasy and cannabis is illegal in the UK."	"Life in the UK"	
"Select TWO famous Paralympians<br><br>Ellie Simmonds<br>Baroness Tanni Grey-Thompson<br>Jessica Ennis<br>Dame Ellen MacArthur"	"Ellie Simmonds<br>Baroness Tanni Grey-Thompson"	"Baroness Tanni-Grey Thompson (1969–) is an athlete who uses a wheelchair and won 16 Paralympic medals, including 11 gold medals, in races over five Paralympic Games. She won the London Marathon six times and broke a total of 30 world records.Ellie Simmonds (1994–) is a Paralympian who won gold medals for swimming at the 2008 and 2012 Paralympic Games and holds a number of world records. She was the youngest member of the British team at the 2008 Games."	"Life in the UK"	
"What was the more probable use for the Stonehenge?<br><br>A special gathering place for seasonal ceremonies<br>A safe place for shelter<br>A hiding place from enemies<br>A fort for soldiers"	"A special gathering place for seasonal ceremonies"	"Stonehenge, still stands in what is now the English county of Wiltshire. Stonehenge was probably a special gathering place for seasonal ceremonies"	"Life in the UK"	
"Who is credited with the introduction of the National Health Service (NHS) in 1948?<br><br>Winston Churchill<br>Florence Nightingale<br>David Hume<br>Aneurin Bevan"	"Aneurin Bevan"	"In 1948, Aneurin (Nye) Bevan, the Minister for Health, led the establishment of the National Health Service (NHS), which guaranteed a minimum standard of health care for all, free at the point of use"	"Life in the UK"	
"Northern Ireland and Scotland have their own banknotes valid everywhere in the UK<br><br>True<br>False"	"True"	"Northern Ireland and Scotland have their own banknotes, which are valid everywhere in the UK. However, shops and businesses do not have to accept them."	"Life in the UK"	
"Who can stand for office as a Local Councillor?<br><br>British and EU citizens only<br>British, Irish, Eligible Commonwealth Citizens and EU citizens<br>British, Irish only<br>British, Irish and Eligible Commonwealth Citizens only"	"British, Irish, Eligible Commonwealth Citizens and EU citizens"	"British citizens can stand for Office as a local councillor, a member of Parliament (or the devolved equivalents) or a member of the European Parliament. This is an opportunity to become even more involved in the political life of the UK. You may also be able to stand for Office if you are an Irish citizen, an eligible Commonwealth citizen or (except for standing to be an MP) a citizen of another EU country."	"Life in the UK"	
"Who founded a monastery on the Island of Iona?<br><br>St Andrew<br>St Columba<br>St Patrick<br>St Augustine"	"St Columba"	"Missionaries from Ireland spread the religion in the north. The most famous of these were St Patrick, who would become the patron saint of Ireland, and St Columba, who founded a monastery on the island of Iona, off the coast of what is now Scotland. St Augustine led missionaries from Rome, who spread Christianity in the south. St Augustine became the first Archbishop of Canterbury."	"Life in the UK"	
"What can the Laws made by the EU also be called?<br><br>Regulations<br>Directives<br>Framework Decisions<br>All of these"	"All of these"	"EU law is legally binding in the UK and all the other EU member states. European laws are called directives, regulations or framework decisions."	"Life in the UK"	
"James VI of Scotland was not related to Queen Elizabeth I of England<br><br>True<br>False"	"False"	"Mary was suspected of murdering her husband and fled to England. She gave her throne to her Protestant son, James VI of Scotland. Mary was Elizabeth I’s cousin."	"Life in the UK"	
"In which year was there a major outbreak of plague in London?<br><br>1465<br>1565<br>1765<br>1665"	"1665"	"During Charles II’s reign, in 1665, there was a major outbreak of plague in London. Thousands of people died, especially in poorer areas. The following year, a great fire destroyed much of the city, including many churches and St Paul’s Cathedral."	"Life in the UK"	
"Which of the following statements is correct?<br><br>Parliament won the English Civil War<br>Charles I's army was defeated at the Battle of Marston Moor but won the Battle of Naseby"	"Parliament won the English Civil War"	"The king’s army was defeated at the Battles of Marston Moor and Naseby. By 1646, it was clear that Parliament had won the war. Charles was held prisoner by the parliamentary army. He was still unwilling to reach any agreement with Parliament and in 1649 he was executed."	"Life in the UK"	
"At what age did Queen Victoria become Queen of the UK?<br><br>18 years old<br>7 years old<br>One week old<br>3 years old"	"18 years old"	"In 1837, Queen Victoria became queen of the UK at the age of 18. She reigned until 1901, almost 64 years. At the date of writing (2013) this is the longest reign of any British monarch. Her reign is known as the Victorian Age."	"Life in the UK"	
"What is the name of the first major railway built in Britain?<br><br>Southern Railway<br>Victorian Rail<br>Blue Rail<br>The Great Western Railway"	"The Great Western Railway"	"The Great Western Railway is the name of the first major railway built in Britain."	"Life in the UK"	
"What religion did Queen Elizabeth I practise?<br><br>Atheist<br>Sikh<br>Protestant<br>Catholic"	"Protestant"	"Queen Elizabeth I was a Protestant. She re-established the Church of England as the official Church in England. Everyone had to attend their local church and there were laws about the type of religious services and the prayers which could be said, but Elizabeth did not ask about people’s real beliefs. She succeeded in finding a balance between the views of Catholics and the more extreme Protestants."	"Life in the UK"	
"What was the system of land ownnership used by the Normans known as?<br><br>The Magna Carta<br>Feudalism<br>Democracy<br>Noble land"	"Feudalism"	"The Normans used a system of land ownership known as feudalism. The king gave land to his lords in return for help in war. Landowners had to send certain numbers of men to serve in the army. Some peasants had their own land but most were serfs."	"Life in the UK"	
